# Travel challenges — handed out one at a time when the team sets off for the
# next pub, to be done on the walk. Same format as challenges.txt:
#   Title | Description
# Blank lines and lines starting with '#' are ignored. They are handed out in
# order, top to bottom. Organiser: edit these freely.

Riddle | "Long before this Czech crusade, your judge's early tracks were made. To win his favour at the start, find an echo of his heart— a flag, a sign, a foreign trace of where he used to have a base. Decode his past upon the street, before the next two glasses meet." Solve the riddle and send a picture to Jack with your answer
Go local | Every team member must eat a traditional Czech dish before the next challenge. No chains, no tourist traps. Photographic proof required.
Riddle | "The local tongue is sharp and deep, with heavy secrets it must keep. Seek out a guide who knows the land, to teach a spell to your small band. Then speak the words in perfect chime, and film the chaos of the rhyme. If twisted tongues should trip and fail, the judge’s wrath will soon prevail." Solve the riddle and send a picture to Jack with your answer
Riddle | "The final hour is drawing nigh, where flesh and stone must form a tie. Find a gap, a slot, a space, to squeeze a teammate in that place. Respect the city, keep the peace, but let the spatial laws decrease. Become a puzzle for the eye, but quick, for Jack by now may be nearby" Solve the riddle and send a picture to Jack with your answer
Riddle | "This ancient valley made of stone, has grander sights than beers alone. En route to four, look high and low, for Prague's ultimate, historic show. Capture the magic, freeze the frame, of what gives this old city fame. The finest vision wins the crown, while lesser views will let Jack down." Solve the riddle and send a picture to Jack with your answer
Czech connection | Find a flag, sign, or street-level trace of Jack's old stomping ground abroad. Photograph it before your next round.
Czech disguise | One team member must acquire and wear a piece of Czech clothing or accessory. Jack judges the effort — worst mimic loses their next beer.
Best of Prague | Find and photograph Prague's most iconic historic sight. Jack picks the winner — the worst shot buys the next round.
Riddle | "Frozen heroes watch the street, where history and modern meet. Find a ghost of Prague’s great past, in stone or paint that’s made to last. All of your flock must steal their guise, and mimic them before Jack's eyes. Match the posture, hold the face, to steal the spirit of the place." Solve the riddle and send a picture to Jack with your answer
Stone squeeze | Find a gap, nook, or slot in Prague's old stonework and fit a teammate into it. Photograph the result — respect the city, make it quick.
Riddle | "You stumble round as foreign guests, but uniting is the aim of this next quest. One member of your traveling band must don the garments of this land. Go seek a slice of Czech aesthetic, something noble, not pathetic. The poorest mimic faces fear, for Jack will guzzle all your beer." Solve the riddle and send a picture to Jack with your answer
Riddle | "The liquid path is going well, but hunger pangs and stomachs swell. No foreign chains or modern treats, seek fuel that's native to these streets. Every mouth within your crew must bite the old to start the new. Show the tribunal you can chew, or face the wrath that will ensue." Solve the riddle and send a picture to Jack with your answer
